filepath,class_name,source
dataset_synthetic\train\eiffel_tower\00057-1984749110.png,eiffel_tower,synthetic
dataset_synthetic\train\pyramids_of_giza\00200-4087309979.png,pyramids_of_giza,synthetic
dataset_real\train\roman_colosseum\b83bf20d90.jpg,roman_colosseum,real
dataset_real\train\roman_colosseum\0e1de29a39.jpg,roman_colosseum,real
dataset_synthetic\train\great_wall_of_china\00248-4085978414.png,great_wall_of_china,synthetic
dataset_synthetic\train\great_wall_of_china\00295-1383148747.png,great_wall_of_china,synthetic
dataset_synthetic\train\roman_colosseum\00031-2283819980.png,roman_colosseum,synthetic
dataset_real\train\pyramids_of_giza\e0e101c27c.jpg,pyramids_of_giza,real
dataset_real\train\roman_colosseum\1ada1b75ee.jpg,roman_colosseum,real
dataset_synthetic\train\eiffel_tower\00014-3137921699.png,eiffel_tower,synthetic
dataset_synthetic\train\statue_of_liberty\00382-174988340.png,statue_of_liberty,synthetic
dataset_synthetic\train\pyramids_of_giza\00149-962878687.png,pyramids_of_giza,synthetic
dataset_real\train\chichen_itza\7fe80f9c1b.jpg,chichen_itza,real
dataset_real\train\chichen_itza\a61fcc9809.jpg,chichen_itza,real
dataset_synthetic\train\pyramids_of_giza\00050-2054659953.png,pyramids_of_giza,synthetic
dataset_real\train\pyramids_of_giza\4913389cb8.jpg,pyramids_of_giza,real
dataset_real\train\roman_colosseum\2d9b1c3337.jpg,roman_colosseum,real
dataset_real\train\pyramids_of_giza\db57b46352.jpg,pyramids_of_giza,real
dataset_synthetic\train\chichen_itza\00027-354526614.png,chichen_itza,synthetic
dataset_real\train\roman_colosseum\a312d8d67d.jpg,roman_colosseum,real
dataset_real\train\eiffel_tower\a76f908095.jpg,eiffel_tower,real
dataset_synthetic\train\eiffel_tower\00280-162160941.png,eiffel_tower,synthetic
dataset_real\train\pyramids_of_giza\37c2fe697b.jpg,pyramids_of_giza,real
dataset_real\train\great_wall_of_china\0b7d1f2f82.jpg,great_wall_of_china,real
dataset_real\train\statue_of_liberty\758282cf51.jpg,statue_of_liberty,real
dataset_real\train\burj_khalifa\69397dfb72.jpg,burj_khalifa,real
dataset_synthetic\train\pyramids_of_giza\00248-3340261358.png,pyramids_of_giza,synthetic
dataset_real\train\pyramids_of_giza\9377b53190.jpg,pyramids_of_giza,real
dataset_synthetic\train\great_wall_of_china\00139-2449295042.png,great_wall_of_china,synthetic
dataset_real\train\chichen_itza\c6a1598d04.jpg,chichen_itza,real
dataset_synthetic\train\great_wall_of_china\00228-4011577243.png,great_wall_of_china,synthetic
dataset_synthetic\train\pyramids_of_giza\00113-942607771.png,pyramids_of_giza,synthetic
dataset_synthetic\train\roman_colosseum\00248-1881496543.png,roman_colosseum,synthetic
dataset_real\train\burj_khalifa\be19149ea6.jpg,burj_khalifa,real
dataset_synthetic\train\eiffel_tower\00094-3388316039.png,eiffel_tower,synthetic
dataset_real\train\pyramids_of_giza\928a5f4c07.jpg,pyramids_of_giza,real
dataset_synthetic\train\christ_the_reedemer\00054-2397697039.png,christ_the_reedemer,synthetic
dataset_synthetic\train\burj_khalifa\00238-2852982642.png,burj_khalifa,synthetic
dataset_real\train\pyramids_of_giza\f9df5357ee.jpg,pyramids_of_giza,real
